,geometry,elevation,line_id
120,POINT Z (140036.432999998 393235.138999999 10.8080000000045),10.81,14
121,POINT Z (140032.996399999 393235.3321 11.4182000000001),11.42,13
122,POINT Z (140035.870000001 393235.589000002 10.6450000000041),10.65,14
123,POINT Z (140031.087000001 393235.754000001 12.0430000000051),12.04,12
124,POINT Z (140035.394000001 393235.969999999 10.8029999999999),10.8,14
125,POINT Z (140034.285 393236.857000001 11.7949999999983),11.8,14
126,POINT Z (140030.9153 393236.9333 11.4559000000008),11.46,13
127,POINT Z (140033.260000002 393237.677000001 11.8549999999959),11.86,14
128,POINT Z (140032.616999999 393238.192000002 11.9640000000072),11.96,14
129,POINT Z (140325.094700001 393223.554900002 11.5742000000027),11.57,10
130,POINT Z (140322.710999999 393224.462000001 12.1319999999978),12.13,11
131,POINT Z (140325.894299999 393225.778499998 11.9125000000058),11.91,10
132,POINT Z (140326.501600001 393227.467399999 11.9472999999998),11.95,10
133,POINT Z (140327.049899999 393228.992199998 11.9051000000036),11.91,10
134,POINT Z (140324.447999999 393229.848000001 12.4400000000023),12.44,11
135,POINT Z (140303.524 393302.662999999 12.5880000000034),12.59,15
136,POINT Z (140314.826000001 393302.857999999 12.1809999999969),12.18,15
137,POINT Z (140316.686000001 393302.868000001 12.2749999999942),12.28,15
138,POINT Z (140313.394000001 393302.897999998 11.0890000000072),11.09,15
139,POINT Z (140028.535100002 393238.764600001 11.4489000000031),11.45,13
140,POINT Z (140024.504999999 393240.816 12.0059999999939),12.01,12
141,POINT Z (140103.640000001 393305.421 12.5979999999981),12.6,18
142,POINT Z (140099.995999999 393305.741999999 12.4729999999981),12.47,16
143,POINT Z (140103.908500001 393307.517499998 12.1247000000003),12.12,17
144,POINT Z (140096.570999999 393308.624000002 12.0880000000034),12.09,16
145,POINT Z (140095.541000001 393309.491 10.7709999999934),10.77,16
146,POINT Z (140100.7458 393309.829300001 11.7831000000006),11.78,17
147,POINT Z (140094.973000001 393309.967999999 10.6009999999951),10.6,16
148,POINT Z (140094.445 393310.412000001 10.778999999995),10.78,16
149,POINT Z (140097.929000001 393310.452 12.023000000001),12.02,18
150,POINT Z (140098.9648 393311.131099999 11.6768000000011),11.68,17
151,POINT Z (140093.511 393311.197999999 11.801999999996),11.8,16
152,POINT Z (140096.941 393311.386999998 10.997000000003),11.0,18
153,POINT Z (140098.324900001 393311.598900002 11.2164000000048),11.22,17
154,POINT Z (140096.385000002 393311.702 10.7229999999981),10.72,18
155,POINT Z (140098.110100001 393311.755899999 10.8932000000059),10.89,17
156,POINT Z (140097.9441 393311.8772 10.7204999999958),10.72,17
157,POINT Z (140095.824000001 393312.166000001 10.8439999999973),10.84,18
158,POINT Z (140092.287999999 393312.227000002 11.9600000000064),11.96,16
159,POINT Z (140097.383200001 393312.2872 10.3319999999949),10.33,17
160,POINT Z (140097.024700001 393312.549199998 10.1827000000048),10.18,17
161,POINT Z (140091.625 393312.785 12.028999999995),12.03,16
162,POINT Z (140096.5931 393312.864700001 10.2964000000065),10.3,17
163,POINT Z (140094.921 393313.162999999 11.8929999999964),11.89,18
164,POINT Z (140096.0222 393313.282000002 10.7277999999933),10.73,17
165,POINT Z (140095.362199999 393313.7645 11.3594000000012),11.36,17
166,POINT Z (140093.607999999 393314.204999998 12.0589999999938),12.06,18
167,POINT Z (140093.474100001 393315.1446 11.4434999999939),11.44,17
168,POINT Z (140090.846700002 393317.065099999 11.4961000000039),11.5,17
